Symbol,EPSscore,Compscore
KD 81 92,
KEN 81 92,
LBRDA 68 92,
LBRDK 68 92,
LOGC 63 92,
MATX 98 92,
MITT 79 92,
NATH 93 92,
NFG 80 92,
NGVC 94 92,
OMAB 74 92,
PAYO 46 92,
PGR 76 92,
PPC 97 92,
PPIH 98 92,
RBC 91 92,
RDDT 82 92,
RSG 92 92,
RSI 81 92,
SAP 64 92,
SCHW 80 92,
SFBS 89 92,
SLNG 81 92,
SONY 64 92,
TPB 84 92,
UVV 91 92,
VRRM 84 92,
WFC 77 92,
ACN 81 91,
AEE 83 91,
AMBA 60 91,
AMPS 81 91,
AXS 97 91,
AZN 97 91,
BAFN 48 91,
BLK 82 91,
BMA 83 91,
CASH 90 91,
CDE 81 91,
CLBT 72 91,
COCO 87 91,
COST 84 91,
CRM 94 91,
CSCO 61 91,
CTIC 61 91,
CUK 79 91,
CVNA 39 91,
DLO 79 91,
ENIC 54 91,
FIVN 98 91,
FTI 81 91,
GATX 91 91,
GILD 46 91,
IDA 72 91,
KAR 82 91,
KTB 91 91,
LGTY 77 91,
MAIN 70 91,
MGIC 71 91,
MLI 95 91,
MMSI 95 91,
MPLX 81 91,
NBIS 31 91,
NOK 89 91,
OKE 94 91,
OOMA 80 91,
PAM 59 91,
PGNY 92 91,
RDWR 87 91,
RELY 70 91,
SII 87 91,
SITM 81 91,
SKY 93 91,
SKYW 83 91,
SMBK 88 91,
STT 89 91,
TGI 81 91,
TRU 88 91,
TTMI 86 91,
UI 87 91,
ULS 87 91,
VCTR 90 91,
XNET 63 91,
ZM 83 91,
ABG 69 90,
APG 83 90,
AXP 86 90,
AZZ 88 90,
BANX 88 90,
BB 72 90,
BMI 96 90,
C 63 90,
CPBI 85 90,
CRBG 84 90,
CSBR 81 90,
CURB 92 90,
DIS 93 90,
DSP 77 90,
DVAX 75 90,
EPSN 87 90,
GFI 52 90,
GIFI 80 90,
GL 92 90,
GNTY 87 90,
HCKT 87 90,
HWBK 74 90,
IRTC 39 90,
ITIC 75 90,
JAZZ 88 90,
JCI 95 90,
KC 33 90,
KINS 81 90,
LFT 77 90,
LRCX 93 90,
LX 23 90,
LZ 92 90,
MCO 85 90,
NTAP 94 90,
NTES 89 90,
NVS 89 90,
OPFI 79 90,
OWLT 81 90,
PAHC 92 90,
PAYX 77 90,
PLYA 49 90,
PNFP 78 90,
REPX 87 90,
RERE 81 90,
RTX 88 90,
SNV 93 90,
SPGI 90 90,
STRT 80 90,
SYK 90 90,
UAL 48 90,
UBS 95 90,
WELL 69 90,
WIT 84 90,
YOU 77 90,
YUMC 86 90,
APH 96 89,
ARGX 81 89,
ATO 78 89,
BAC 79 89,
BFLY 40 89,
BHF 77 89,
BKTI 81 89,
CAAS 62 89,
CBAN 70 89,
CCEL 79 89,
CCEP 71 89,
CGTL 97 89,
CMI 94 89,
CRGY 64 89,
CSV 94 89,
CURI 60 89,
DESP 81 89,
ECPG 74 89,
EFXT 81 89,
ES 79 89,
FDUS 65 89,
FRBA 93 89,
FTLF 89 89,
GCMG 92 89,
GDDY 82 89,
GEN 91 89,
GEV 67 89,
GLP 92 89,
GOSS 58 89,
GWRE 48 89,
HDL 52 89,
IROQ 77 89,
MAG 98 89,
MMC 85 89,
MRBK 78 89,
MRVL 70 89,
NIC 90 89,
NMRK 75 89,
ORCL 87 89,
PCRX 88 89,
PM 82 89,
RDCM 38 89,
RMNI 88 89,
THFF 64 89,
TIGR 32 89,
TIPT 97 89,
TSAT 39 89,
URBN 94 89,
VLRS 81 89,
WRB 91 89,
WSM 87 89,
WTFC 90 89,
XPEV 48 89,
YUM 83 89,
ZH 61 89,
AAMI 94 88,
AAPG 81 88,
ACAD 81 88,
ACEL 75 88,
AFYA 98 88,
AMAL 96 88,
BCSF 51 88,
BDC 87 88,
BSRR 84 88,
BSVN 99 88,
CAC 87 88,
CARE 89 88,
CCLD 83 88,
COE 57 88,
CTSH 67 88,
CVU 98 88,
DCGO 45 88,
DHX 42 88,
EBTC 75 88,
ESS 89 88,
ETR 84 88,
FSEA 81 88,
GRAL 61 88,
HLT 90 88,
HPE 66 88,
INFU 79 88,
IRDM 59 88,
KGEI 50 88,
KLTR 67 88,
KO 78 88,
LOGI 60 88,
LYG 60 88,
MGYR 96 88,
MRCY 81 88,
MSB 45 88,
NPK 56 88,
NTB 80 88,
NWPX 86 88,
PAGP 66 88,
PH 84 88,
PRI 96 88,
SHBI 77 88,
SNAL 81 88,
SRAD 37 88,
SSBK 92 88,
TALK 81 88,
TBCH 61 88,
UFCS 81 88,
VEON 40 88,
VITL 79 88,
VRSN 80 88,
VTR 81 88,
WB 34 88,
ZG 81 88,
ZION 88 88,
ABT 73 87,
AEP 64 87,
BVS 70 87,
BZUN 31 87,
CNVS 34 87,
CPK 79 87,
DAY 97 87,
DORM 96 87,
ERIC 74 87,
EVR 83 87,
FCFS 80 87,
FER 81 87,
FPAY 69 87,
FWONK 67 87,
FXNC 64 87,
GEHC 80 87,
GRND 37 87,
HL 81 87,
IBN 95 87,
KR 70 87,
LAD 63 87,
LNT 87 87,
MATH 81 87,
MNSO 91 87,
MPWR 98 87,
NCTY 81 87,
PDEX 86 87,
PHR 50 87,
PIPR 82 87,
PSTG 90 87,
PWOD 68 87,
R 85 87,
RAND 21 87,
RAVE 76 87,
RIGL 73 87,
ROL 85 87,
ROOT 72 87,
ROP 82 87,
RPRX 44 87,
SAR 82 87,
SO 51 87,
SRCE 82 87,
SYBT 87 87,
TCBI 85 87,
TMP 84 87,
TSLX 56 87,
UNM 86 87,
USLM 99 87,
VCYT 81 87,
VRSK 83 87,
WMT 83 87,
WTW 90 87,
XMTR 74 87,
YELP 92 87,
ZS 99 87,
AGS 42 86,
AISP 81 86,
AM 63 86,
APEI 75 86,
APO 89 86,
CARG 94 86,
CART 42 86,
CFB 93 86,
CFFI 69 86,
DCPH 35 86,
ECL 86 86,
ENS 93 86,
EPR 87 86,
FPH 45 86,
FROG 24 86,
FSBC 54 86,
FSFG 76 86,
FSI 95 86,
FTDR 91 86,
FUBO 53 86,
HIFS 80 86,
HIMX 51 86,
HRTG 81 86,
IBM 49 86,
IDT 98 86,
LARK 77 86,
LNN 82 86,
LULU 95 86,
MASI 89 86,
MAT 88 86,
MCB 85 86,
MOMO 29 86,
NEXN 78 86,
NJR 97 86,
PFIS 87 86,
PNW 66 86,
RITM 62 86,
RRBI 86 86,
RRC 91 86,
SANM 81 86,
SCM 55 86,
STRW 74 86,
SYF 92 86,
TD 59 86,
TJX 89 86,
UCB 82 86,
USAC 79 86,
VMI 91 86,
VNOM 83 86,
WDC 81 86,
WDH 80 86,
WM 84 86,
WRLD 71 86,
WSBC 63 86,
YPF 79 86,
Z 81 86,
ABCB 85 85,
ALSN 89 85,
ALTS 44 85,
AMSC 81 85,
AWI 85 85,
BANF 91 85,
BBDC 69 85,
BECN 57 85,
BNT 62 85,
BX 87 85,
CBSH 85 85,
CERT 83 85,
CRAI 96 85,
CRH 90 85,
CRVL 96 85,
DDS 53 85,
EFC 60 85,
EGHT 67 85,
EHC 87 85,
EPD 69 85,
EXFY 81 85,
FFIN 84 85,
FHN 87 85,
FN 97 85,
FR 67 85,
FSS 94 85,
FSUN 70 85,
FULT 89 85,
GOCO 61 85,
GVA 97 85,
HURN 94 85,
ICCM 35 85,
ING 71 85,
ITCI 32 85,
KODK 90 85,
LNSR 46 85,
LNW 71 85,
NI 62 85,
OPY 42 85,
OR 93 85,
ORI 81 85,
PODC 53 85,
PONY 38 85,
PRCH 63 85,
SKT 65 85,
SNFCA 75 85,
TRGP 74 85,
TRI 81 85,
TRMB 83 85,
TRMK 89 85,
TRNO 83 85,
TRV 95 85,
UPST 43 85,
UPWK 75 85,
VIAV 42 85,
ZLAB 44 85,
AGM 73 84,
AMGN 82 84,
AXR 94 84,
BAM 77 84,
BBW 95 84,
BCAL 90 84,
BHRB 92 84,
BWIN 94 84,
CDNA 81 84,
CHTR 94 84,
CINT 43 84,
CODA 81 84,
COR 92 84,
CWST 69 84,
DAL 42 84,
DE 53 84,
DGII 81 84,
DLB 83 84,
DTM 69 84,
EDR 26 84,
EFSC 74 84,
FLOC 73 84,
FNKO 81 84,
FNV 54 84,
FUSB 77 84,
GLBE 65 84,
GRAB 44 84,
HBT 56 84,
HEES 53 84,
INCY 51 84,
JCSE 81 84,
JLL 76 84,
JZXN 66 84,
KMDA 70 84,
KVYO 36 84,
LYTS 82 84,
MTG 88 84,
NPO 93 84,
OPHC 96 84,
OPTT 53 84,
PBFS 88 84,
PCOR 28 84,
PFGC 87 84,
PGY 39 84,
PLBC 72 84,
PLD 94 84,
QNST 81 84,
SEMR 7 84,
SJT 40 84,
SYNX 81 84,
TGS 66 84,
THTX 81 84,
UAN 98 84,
WAT 76 84,
WCN 86 84,
ADSK 90 83,
ATI 89 83,
AXSM 36 83,
BATRA 81 83,
BCRX 55 83,
BJ 91 83,
CFR 73 83,
CMRX 18 83,
CNO 78 83,
COHR 84 83,
DV 83 83,
ECBK 64 83,
ECOR 50 83,
ESGR 55 83,
GIB 81 83,
HBAN 74 83,
HCAI 81 83,
HSTM 89 83,
HTB 75 83,
JBTM 75 83,
LEU 18 83,
LEVI 89 83,
LGL 31 83,
LH 42 83,
LIN 89 83,
LSBK 74 83,
LUCD 31 83,
MFH 9 83,
MIR 65 83,
MIRM 51 83,
ML 59 83,
MYO 43 83,
NESR 77 83,
NTNX 67 83,
OPK 70 83,
ORRF 85 83,
PARAA 75 83,
PB 74 83,
PGC 54 83,
PLNT 92 83,
PLX 37 83,
PRTH 40 83,
SAND 57 83,
SGI 78 83,
STKL 81 83,
SWTX 42 83,
TCBS 67 83,
TGNA 88 83,
TOUR 63 83,
TSLA 83 83,
VFC 48 83,
VRT 98 83,
WIX 76 83,
WWD 53 83,
ZIM 81 83,
AER 71 82,
AFL 91 82,
AKOA 71 82,
ALC 89 82,
AUDC 52 82,
BBAR 79 82,
BFC 88 82,
BOX 96 82,
CADE 91 82,
CASY 89 82,
CBU 73 82,
CCBG 80 82,
CGEN 73 82,
CMS 70 82,
CNP 56 82,
COIN 82 82,
CPRT 93 82,
DLNG 88 82,
DOX 85 82,
EML 83 82,
EXOD 37 82,
FE 66 82,
FNF 69 82,
FRME 68 82,
GGAL 58 82,
HEIA 94 82,
HSAI 29 82,
HTHT 35 82,
LAZ 68 82,
LSCC 44 82,
MD 89 82,
MMM 55 82,
MOB 58 82,
MORN 89 82,
MPAA 44 82,
MRCC 71 82,
MSI 86 82,
NMTC 62 82,
NREF 97 82,
OBK 54 82,
ONB 65 82,
OSBC 74 82,
PSMT 86 82,
PTVE 83 82,
REVG 88 82,
SLRC 61 82,
SMFG 28 82,
TBRG 11 82,
TDOC 81 82,
TDY 72 82,
TOWN 68 82,
UMBF 83 82,
UXIN 66 82,
ZJK 81 82,
ZTO 79 82,
AGRO 80 81,
AKOB 71 81,
AORT 73 81,
AOUT 73 81,
APAM 82 81,
BELFB 68 81,
CBL 77 81,
CFFN 81 81,
CNS 72 81,
COFS 92 81,
COHN 70 81,
CPA 69 81,
CPF 88 81,
CR 91 81,
DGICA 81 81,
DX 59 81,
EME 99 81,
EQT 84 81,
ESTC 76 81,
FCAP 58 81,
FDP 93 81,
FSV 92 81,
GEG 52 81,
HTGC 57 81,
IBCP 76 81,
IPAR 90 81,
JBL 69 81,
KKR 91 81,
KNTK 76 81,
MCS 37 81,
MFC 78 81,
MIDD 62 81,
NTCT 77 81,
OZK 80 81,
PARA 75 81,
PBI 71 81,
PSIX 81 81,
RBCAA 73 81,
ROAD 75 81,
SHC 75 81,
SNOW 16 81,
SSB 86 81,
STX 82 81,
TASK 87 81,
TENB 99 81,
TFC 81 81,
TG 81 81,
THG 81 81,
TIGO 81 81,
TKC 81 81,
TXRH 98 81,
UG 83 81,
WMB 71 81,
WTBA 61 81,
WYHG 39 81,
ZENV 62 81,
AB 83 80,
ACB 81 80,
API 30 80,
ATMU 89 80,
AUPH 81 80,
AVO 78 80,
AWK 89 80,
AZ 51 80,
BAP 83 80,
BCH 47 80,
BKU 75 80,
BNRG 62 80,
BPOP 86 80,
CHMG 82 80,
CPAC 96 80,
CW 81 80,
DHT 70 80,
EWBC 78 80,
FBMS 55 80,
FENG 45 80,
FLXS 95 80,
GTES 61 80,
HMN 78 80,
IBIO 61 80,
IESC 98 80,
IHG 94 80,
IHS 49 80,
KSPI 97 80,
L 90 80,
MAR 77 80,
MKC 66 80,
MTEK 81 80,
NECB 89 80,
NTCL 12 80,
PBH 79 80,
PTLO 45 80,
QCRH 80 80,
RGS 77 80,
RICK 86 80,
SMBC 70 80,
SMLR 85 80,
SRFM 58 80,
STRA 72 80,
SUN 81 80,
TDS 54 80,
TENX 58 80,
TGTX 28 80,
TNL 72 80,
TT 96 80,
UVSP 73 80,
VBFC 44 80,
VLGEA 90 80,
WAL 58 80,
WEC 77 80,
WIMI 81 80,
ADTN 26 79,
AMBO 69 79,
AR 38 79,
ASND 48 79,
ATRC 44 79,
BATRK 81 79,
BDMD 81 79,
BOOT 91 79,
BOW 71 79,
BRAG 29 79,
BRKB 83 79,
CACC 50 79,
D 83 79,
DYCQ 81 79,
EPAC 88 79,
EPRT 69 79,
EURK 81 79,
FDS 87 79,
FFBC 78 79,
FSK 53 79,
FSM 94 79,
GAIN 63 79,
GASS 98 79,
HLIT 97 79,
JAMF 99 79,
K 77 79,
KOF 77 79,
LOAN 49 79,
MAA 71 79,
MBWM 67 79,
MCBS 92 79,
MG 94 79,
NABL 95 79,
NRG 72 79,
NWS 93 79,
ONC 18 79,
OVBC 62 79,
PDLB 48 79,
PPL 39 79,
PRAA 81 79,
QCOM 94 79,
QLYS 89 79,
QTWO 68 79,
QUBT 46 79,
RWAY 63 79,
SABR 40 79,
SHAK 79 79,
SLM 29 79,
SOUN 42 79,
TMQ 51 79,
TRTX 81 79,
UNF 64 79,
VEL 95 79,
VHC 44 79,
YALA 86 79,
ALL 77 78,
AMS 78 78,
AN 68 78,
ATEX 37 78,
AYI 84 78,
BHLB 91 78,
BNR 48 78,
BRBR 96 78,
BRBS 71 78,
BRX 90 78,
BTI 52 78,
CCU 85 78,
CPSS 46 78,
DC 26 78,
DOV 69 78,
DRS 95 78,
EBMT 60 78,
EEFT 84 78,
EMR 85 78,
ETON 37 78,
FINW 31 78,
FLS 67 78,
FTAI 37 78,
GFL 75 78,
GH 28 78,
HG 81 78,
HIPO 57 78,
JAKK 79 78,
JRSH 26 78,
MBIN 80 78,
MKCV 66 78,
MLAB 28 78,
MNKD 81 78,
MXC 91 78,
NICE 96 78,
NPCE 39 78,
ONFO 40 78,
ONON 89 78,
PRE 39 78,
PRM 82 78,
PSNL 23 78,
RBRK 42 78,
REG 76 78,
SFD 83 78,
SKIL 42 78,
SLAB 29 78,
SNX 73 78,
SUPN 81 78,
T 41 78,
TDUP 17 78,
TSEM 84 78,
TVTX 47 78,
UPLD 52 78,
VIOT 81 78,
WNS 65 78,
WSBF 75 78,
ACNB 81 77,
ALLT 75 77,
AME 81 77,
APLD 6 77,
ASR 93 77,
ATHM 31 77,
AZO 78 77,
BMRC 48 77,
BSM 85 77,
CAE 59 77,
CBZ 89 77,
CDRO 38 77,
CGBD 52 77,
CION 47 77,
CLST 81 77,
CTVA 78 77,
DCO 91 77,
DDOG 96 77,
DTE 63 77,
EOG 85 77,
ESAB 83 77,
ET 56 77,
FVRR 95 77,
HBCP 63 77,
HES 93 77,
HIT 24 77,
HOMB 68 77,
HUT 34 77,
IMMR 95 77,
INFY 74 77,
ISSC 77 77,
ITT 85 77,
KRMD 56 77,
LITE 45 77,
MDT 61 77,
MNDO 33 77,
MOFG 39 77,
MTB 80 77,
MTTR 57 77,
NCSM 26 77,
PBR 70 77,
PBRA 70 77,
PFG 66 77,
PFLT 61 77,
PLXS 91 77,
PMTS 56 77,
PYPL 78 77,
RLGT 85 77,
SGHC 11 77,
SIBN 40 77,
STE 86 77,
TILE 85 77,
UGI 54 77,
VIPS 67 77,
WAB 87 77,
ADPT 46 76,
AHR 67 76,
